Artysta,Pos,Rok,Max Poz
ABBA,2,1975,1
ADELE,4,2011,1
ALANIS MORISSETTE,41,1995,1
AMY WINEHOUSE,13,2006,1
BEATLES,3,1967,1
BOB MARLEY & THE WAILERS,16,1984,1
COLDPLAY,31,2000,1
CORRS,28,1997,1
DAVID GRAY,26,1998,1
DIDO,25,2000,1
DIRE STRAITS,8,1985,1
ED SHEERAN,49,2014,1
EMINEM,55,2000,1
FLEETWOOD MAC,11,1977,1
GEORGE MICHAEL,53,1998,1
JAMES BLUNT,17,2004,1
JEFF WAYNE,37,1978,5
KEANE,35,2004,1
KINGS OF LEON,33,2008,1
LADY GAGA,30,2008,1
LEONA LEWIS,23,2007,1
MADONNA,12,1990,1
MEAT LOAF,19,1977,9
MICHAEL BUBLE,24,2009,1
MICHAEL JACKSON,6,1982,1
MIKE OLDFIELD,42,1973,1
NORAH JONES,50,2002,1
OASIS,5,1995,1
ORIGINAL CAST RECORDING,52,1965,1
ORIGINAL SOUNDTRACK,22,1977,1
PAUL SIMON,51,1986,1
PHIL COLLINS,39,1989,1
PINK FLOYD,7,1973,2
QUEEN,1,1981,1
REM,60,1992,1
ROBBIE WILLIAMS,48,1998,1
SCISSOR SISTERS,38,2004,1
SHANIA TWAIN,15,1997,1
SIMON & GARFUNKEL,21,1970,1
SIMPLY RED,14,1991,1
SNOW PATROL,58,2006,1
SPICE GIRLS,29,1996,1
TAKE THAT,34,2005,1
TRACY CHAPMAN,44,1988,1
TRAVIS,43,1999,1
U2,36,1987,1
VERVE,18,1997,1
